idx,유저,챗봇
415,김 병장 난로는 정말 좋던 데 다른 거 또 구입하려 하는 대뽀로로 난로효과도 김 병장처럼 동일한 가요?,차이를 성능 면에서는 느끼실수 있을 것 같습니다. 아이들이 사용하기에 좋습니다.
416,김 병장 붙이는 핫팩을 발에 붙여도 되나여?,발에 붙이시기 큰 사이즈 라이동에 불편하실 것 같아요 그리고 붙이는 핫팩은 붙이신 뒤 외부 노출 안 되게 한 번 더 덮어주셔야 효과가 좋아요.
417,화요일 생산해서 금일 출고해준다고 했는데 출고됩니까?,오늘 출고 처리됩니다.
418,제조일자 2017년 9월 이후 제품 보내주실수 있을까요?,현재 마이핫손 난로 제품은 2017년 9월 제조상품입니다.
419,,
420,,
421,,
422,마이핫 보온대 지금 주문하면 제조년월이 언제 꺼에요?,2017년 9월 제조상품입니다. 감사합니다.
423,김 병장 핫보온대 제조일자가 어떻게 되나요?,2017년 9월 제조된 상품입니다.
424,마이핫 보온대 제조 날짜가 언제인가요?,상품 2017년 9월 제조된 상품이고요배송 소요기간은 1 - 2일 정도 소요됩니다.
425,,
426,배송 날짜는 며칠이나 걸리나 여?,오후 3시 이전 주문시 당일 출고 가능해요.
427,주문한 지 한 달 되었는데 생산을 아직도 안 하고 있나유?,출고 처리 진행합니다.
428,,
429,김 병장 담주는 발송 안 되겠죠?,다음 주 일정 확인 뒤 가장 빨리 보내드릴수 있는 제품으로 보내겠습니다.
430,,
431,김 병장은 언제 배송되지요,현재 김 병장 제품이 번 주 생산이 불가할 것으로 보입니다 다음주 일정을 다시 한 번 확인해야 하며 더 지연될 가능성도 있어요.
432,,
433,,
434,언제 배송되나유?,현재 주문건의 경우 다음 주에 배송될 가능성이 많습니다 김 병장 제품의 생산이 제조공장의 마이핫 군납일정으로 상당히 지연되어 현재 출고 대기 중인 건이 많아 순차 발송으로 진행될 예정으로 다음 주에 발송될 가능성이 많습니다.
435,이번 주는 배송되나요?,현재 해당 상품 지난주 일정이 모두취소되어 발송이 불가했으며 이번 주 생산 일정 확인 중에 있어요.
436,아니 24일 날 출고해 주신다면서 지금 27일인데 아직도 배송 준비 중인데요?,해당 일 생산 일정이 취소되어 21일 문자 발송 처리해드렸는데 혹시 확인이 안 되셨는 징지난주 일정이 모두취소되어 이번 주에도 후반부에 가능할지 확인 중이 있어요.
437,언제쯤 발송이 되려나요?,이번 주 생산 일정을 현재 김 병장 제품은 확인 중에 있습니다 생각보다 길어진 지연에 너무나 죄송할 따름입니다.
438,이번 주는 오나여?,현재 해당 상품 지난주 일정이 모두취소되어 발송이 불가했으며 이번 주 생산 일정 확인 중에 있어요.
439,배송문의? 언제 배송됨?,주문주 신상품 당일 출고 처리해드릴게요.
440,김 병장 핫팩3주째 안 오는데 너무 하네요. 더 기다려야 하나요?,50매 먼저 교환 발송 진행해 드리겠습니다 추후 김 병장 입고되면 나머지수량 출고 처리하겠습니다.
441,언제 배송될지 모른다고 적어 나야지 4 - 5일 만 기다리면 되겟다 하고 주문하는 사람들은 머가 되는 건지 너무 무책임한 거 아닌가요?,상품 생산이 저희도 안내받은 일정에서 어긋나 지연이 오래되고 있어요.
442,아니 5일 지연된다고 해서 기다리고 있는데 여전히 배송 준비 중이네요?,제조공장의 군납일정으로 8일부터 전혀 생산이 되지 못하여 발송을 못해 드렸습니다.
443,배송 지연이 된다고 해서 기다리는데 그래도 너무 오래 걸리는 것 아닌가요?,제조공장의 군납일정으로 8일부터 전혀 생산이 되지 못하여 발송을 못해 드렸습니다.
444,언제쯤 오쥬?,깅병장 핫보온대 현재 16일에 주문 주셨는데요 생산이 지연되어 현재 7일 자 주문 고객님부터 대기 중에 있어요.
445,다음 주 토요일부터 꼭 필요한데 그 전에 받을수 있을까요?,12월 8일부터 생산이 지연되어 현재까지 발송해 드리지 못했으며 그간 제조공장에서 마이핫의 군납일정으로 김 병장 제품이 생산이 못 되었어요.
446,12월 7일 주문했는데 다음 주에 받습니까?,발송을 발송이 지연된 점 너무나 죄송합니다 해당 상품 지난 주 목요일부터 생산입고되지 않아 주문건부터 못해드렸습니다.
447,배송을 도대체 언제 한다는 건지?,김 병장 핫보온대 지나 주 목요일부터 계속되는 생산지연으로 현재 발송이 모두지연되고 있어요.
448,마이핫 보온대 최근 제조된 건가요?,최신 제조상품입니다. 다만 오늘 품절로 인해 발송까지 몇 일 소요될수 있어요.
449,11일 날 주문했는데 언제 배송되겠죠,현재 이번 주 생산 일정 취소로 인하여 다음 주 월화 중에 입고 여부 확인 뒤 발송이 가능할 것으로 예상됩니다 준비되는 대로 발송하겠습니다.
450,언제 배송해요?,주문건의 경우 다음 주수요일 이후가 될 것 같습니다 현재 12월 7일 주문분부터 대기 중인 상태라 양해부탁드립니다.
451,김 병장 언제쯤 배송 가능한지 알수 있나여?,현재 일주일 정도 넉넉히 기다려주시기 부탁드립니다 공장 사정에 따라 빨라질수도 더 지연될수도 있어요.
452,언제 배송되는 건가요?,현재 생산 지연으로 인해 목 금요일 출고가 가능할 것으로 판단되며 이는 공장 사정에 따라 또한 변경될 가능성이 있어요.
453,,
454,언제 오나유?,주문건 도착일까지 1 - 2일 소요됩니다. 어제 늦은 작업으로 택배상 차 어려웠습니다.
455,마이핫 보온대 140G 의 크기는 어떻게 되요?,보온대사이즈는 외봉투 규격 155MMX 180MM 입니다.
456,언제쯤 배송이 될까요?,17 번으로 문자 드렸는데 혹시 확인이 안 되 셧는지요 김 병장 생산 지연으로 오늘부터 생산이 시작되었다고 합니다.
457,물건이 오지도 않았는데 구매 결정이 떠 있는 건 뭔가요?,구매 결정은 저희 쪽에서 할수 있는 부분이 아니며 배송 후 일정 기간 뒤 자동구매 확정이 되거나 지금처럼 11월 24일 주문건이 구매 확정이 되어 확정을 있는 경우는 고객님께서 눌러주시는 경우에만 가능해요.
458,군부대로 보내려는데 혹시 ooo oo로 배송될까요?,별도로 ooo oo 이용은 불가하며 자택으로수령하신 뒤 고객님께서 ooo oo 이용하여 보내주셔야 합니다.
459,김 병장 핫보온대와 마이핫 보온대차이가 어떻게 나죠?,상품의 유통 경로의 차이입니다.
460,,
461,제조일자가 어떻해 되나여?,김 병장 16년 10월 제조/마이핫 15년 9월 16년 1월 제조/손난로 15년12월 제조입니다.
462,마이핫 보온대 40매 구매했습니다. 사용기한이 언제까진 가요?,제조일로부터 3년까지 사용 가능한 상품입니다 제조일자는 2016년 1월입니다.
463,뭐라도 물어볼수 있어야기다리지 않져?,빠른 발송 진행해 드리지 못한 점죄송합니다.
464,,
465,배송 입고 지연이라서 기다리고는 있는데 5일 정도 예상하면 될까요?,김 병장 핫보온대의 경우 28일 입고되어 1월 24일까지 주문 주신 건들 출고 처리 진행해 드렸구요.
466,아직 안 와서 26일 날 주문했는데 아직 안 왔어 여 얼마나 늦겟 배송되는지 여?,김 병장 핫보온대오늘은 1월 24일 이전 주문건에 한하여 출고 처리가 진행되고 있으며 해당 주문건은 금요일 또는 다음 주 월요일에 정확한 확인이 가능해요.
467,언제 배송되나요배송은 언제 되나요?,해당 주문건은 오늘 출고 처리 진행될 예정이에요.
468,,
469,언제쯤 받을수 있을까요?,김 병장의 경우 27일부터 순차입고 신데 19일 주문수량부터 출고되기 때문에 해당 건 2 - 3일 지연 예상됩니다.
470,,
471,오늘 주문하려고 하는데 배송 지연으로 표기되어 있네요 부모님 집에 보내려고 하는데 대략 언제쯤 배송 출발이 가능할까요?,오늘 주문해 주시면 5일 정도 지연 예상해주셔야 합니다 상품의 입고량이 극소량이다보니 양해 부탁드릴게요.
472,,
473,아 김 병장이 더 따뜻한 가요?,김 병장 제품의 경우 중량이 10G 더 많이 들어가 있어요.
474,제조일이 언제인가요?,상품 제조일은 2015년 9월입니다.
475,블루로 주문했고 아직 발송 준비 단계인데 그레이로 변경해서 받을수 있을까요?,확인 후 발송하겠습니다.
476,,
477,왜 만 9천 얼마 하는 게 계산하기 들어가면 2만 얼마로 올라서 계산되나유?,추가요금이 있는 상품을 구매하시면 금액이 올라갑니다 옵션상품의 추가 금액이 얼마인지 확인해주세요.
478,두제품 다물주머니가 양면 무늬 다이아인가요?,전부 다양면 다이아입니다 빗살을 주문하 실려면 물주머니 따로 커버 따로 주문하셔야 합니다.
479,,
480,상품 구매하면 마개 하나 추가로 구매할수을까요 전에 꺼태워 먹어서요oo마개는 다 동일한 거죠?,추가 구매로 주문하실수 있어요.
481,,
482,,
483,,
484,B18 양면 누빔커버 옵션으로 주문했는데 물주머니 업그레이드 가능한가요?,네 업그레이드로 보내드립니다.
485,명절 전에 받을수 있져?,명절 전에 받으실수 있어요.
486,노커버 형 더 구매할려고 하는데 어떤 게 좋은가요?,뚜꺼운 순으로 양면 빗살 다이아몬드 순입니다.
487,오늘 안에 오는 거 맞습니까?,현재 연수동에 가 있어요.
488,,
489,보온시간은 대충 어느 정도 될까요?,외부에서 사용할 경우 온도에 따라 차이가 있지만 그리 오래가지는 않아요.
490,물주머니는 성능의 차이는 없지,다이아몬드가 가장 기본형이며 무늬가 들어갈수록 조금씩 두껍습니다 제일 두꺼운 것은 양면 빗살이며 물주머니가 두꺼우면 보온 시간이 조금 더 오래갑니다.
491,사용방법 2번 보면수명 짧아 짐써 있는데 김을 안 빼면수명이 짧아진다는 뜻인가요?,100도시의 물을 자주 사용하거나 김을째지 않으면 고무가 팽창하여수명이 짧아질수 있어요.
492,,
493,양면 빗살 주머니 랑 오가닉 면 커버 주문했는데요요게 제일 두껍고 보온이 오래 가는 게 맞는 건가요?,양면 빗살이 물 주머니 중에서는 제일 뚜껍습니다 뚜거우면 보온이 좀 오래갑니다.
494,0. 8L 안 제재 입고될까요?,11월 중순 예상하고 있어요.
495,제 꺼는 왜 고리가 없이 왔을까요?,별자수 상품은 커버가 완전히 씌워져 있기 때문에 독일에서 생산할 때 고리가 없이 생산됩니다.
496,0. 8사이즈 커버에 무늬 있는 건 품절인데 입고 계획은 없으신가요?,현재 0.8 노커버가 재고가 품절되었습니다 독일에 주문한 상태이며 시간은 20 - 30일 정도 걸릴 예정이에요.
497,,
498,허리 찜질할 때 허리 밑에 넣고 바닥에 누워도 안 터 지,사람 무게정도로는 터지지 않습니다 허리에 사용하셔도 됩니다.
499,물 넣고 커버 벗겨보니 흰색 물주머닌데 노란색으로 얼룩져 있는데 이거 새거 아닌가요?,물주머니는 사용하면 사용할수록 약간씩 색이 변합니다 또한 커버에서 약간의 이염이 생길수 잇습니다.
500,,
501,내일 B1 사려고 하는데 추가 옵션에서 마개 추가가 먼 가요?,선택 안하셔도 됩니다 추가로 필요하신 분만 구매하시면 됩니다.
502,분명 제대로 누른 것 같은데 커버만 왔어요 이거뭐 어떻해야 합니까?,주문을 커버만 하셨네요 노커버만 따로 구매하셔어 사용하시면 됩니다.
503,팔팔 끓인 물 넣어도 아무 문제 없는 건가요?,70 - 80도를 권장합니다 정수기 온도 정도입니다.
504,정품 제품 배송해주신 게 맞지요,당사는 국내 정식수입업체로 정품만 취급합니다.
505,구입한 지 2개월 조금 넘었는데 이 음새 부분에서 물이 샙니다 그냥 버려야 되는 건가요?,물이 새면 A/S가 불가능합니다 사용상 문제가 없는지 확인해주세요.
506,선물 포장도 가능할까요?,선물포장 시스템이 없얻요.
507,"더 비싼 제품들은 더 두껍다는 건 알겠는데, 더 두꺼우면 보온이 오래가거나 내구성이 더 튼튼하거나 장점이 무언가요?",보온도 더 오래가고 내구성도 기본 향보다는 더 좋습니다 양면 빗살 같은 경우는 두께가 두배 정도 차이가 납니다.
508,,
509,물주머니수명이 어느 정도인가요?,60 - 70도로 사용하시면 5년 이상은 사용하실수잇습니다 더 오래 사용하실수도 있고요 너무 뜨거운 물을 넣으면 환경에 따라 사용년수가 달라질수 있어요.
510,B1 /0. 8면 커버 지 금 품절 상태인 상품이요. 혹시 재입고 계획 있니,입고되었습니다 열어놓겠습니다.
511,보통 보온 시간이 얼마나 갑니까?,실온에서 사용하실 경우 2시간 정도이며 밀폐된 공간에서 사용하실 경우는 4 - 5시간 정도입니다.
512,,
513,제품에 무슨 차이가 있는지요?,별 차이는 없습니다 현재 노커버 상품행사기간이라 가격이 할인되어 있어요.
514,2017년 신상품이 어떤 건가요?,전부 신상품입니다면 스판벨벳 커버는 독일에 서 면 스판으로 신상으로 들어온 제품입니다.
515,물 주머니 가 격 차이가 많이 나는데. 흰색 다이아몬드물 주머니가 1번 다이아몬드 랑색만 다르고 같은 제품인가요?,물주머니에도 아트형들이 있어서 두께나 모양이 다 틀립니다.
516,물주머니들이 가격이 다 다르게 측정되어 있는데. 그 이유가 디자인 때문인가요?,두께와 모양 등에 차이가 있습니다 보온력도 약간 차이가 있고요.
517,금일 오전에 주문하면 당일 발송 가능한가요?,오전 주문하시면 당일 발송합니다.
518,안고 있으니 옷에 냄새가 배이네요 불량 아닌가요?,제품에 따라서 혹은 물의 온도에 따라서 냄새가 날수도 잇습니다 보름 정도 사용하시면 냄새는 거의 없어집니다.
519,분말 60포포함된 세트로 샀는데 코 세척기만 오고 분말은 안 왔네 여 어떻게 된 거죠?,우선 이용에 불편드려 대단히 죄송합니다. 금일 60포 분말 제품 추가 발송 예정이에요.
520,소독을 의료기기 전용 소독액으로 해야 하쥬?,현재 소독액을 제작 중이며 우선은 코 세척 후 용기를 식초나 식기세척액으로 잘 씻은 후 거치 캡을 이용하여 완전 건조시켜주시기 바랍니다.
521,저번에 사서 쓰고 있는데 빨대가 깨졌어요 빨대만 살 순 없나요?,노즐이 깨졌다는 말씀이군요 보내드리도록 하겠습니다.
522,5월 10일에 주문했는데 아직 운송장 번호도 안 떴습니다. 이건 좀 아니지 않을까요?,주문하신 건은 지금 배송 중으로 내일이나 늦어도 화요일에는 받아보실수 있어요.
523,5월 10일 인가 11일 날 주문했는데 번호만 뜨고 조회가 안 되네요혹시 언제 받아볼수 있나유?,4시 이전 주문건은 당일 발송이 원칙이나 최근 방송의 여파로 택배 건이 밀려 하루 이틀 배송이 늦어지고 있어요.
524,5월 10일 주문했는데 어떻게 된 건가요?,4시 이전 주문건은 당일 발송이 원칙이나 최근 방송의 여파로 택배 건이 밀려 하루 이틀 배송이 늦어지고 있어요.
525,운송장 번호 오류라고 하는데 잘못 보내신거에요?,4시 이전 주문건은 당일 발송이 원칙이나 최근 방송의 여파로 택배 건이 밀려 하루 이틀 배송이 늦어지고 있어요.
526,,
527,지금 배송 중이라고 써 있는데 혹시 내일 도착할까요?,해당 상품 금일 발송되어 현재 배송 중에 있어요. 사이트상으로 위치조회 또한 가능하며 보통 출고된 다음날수령 가능하십니다.
528,언제 옴?,해당 상품 현재 배달지역에 도착하여 배달준비 중으로 조회되고 있어요. 금일 중수령 가능하실 것으로 예상되며 사이트상으로 위치조회 또한 가능해요.
529,,
530,우체국 배송이 왜 이리 늦은 건가요?,당사의 주문 폭주로 인하여 물건이 순차적으로 배송이 되고 있습니다 고객님의 물건은 오늘 발송이 되어 내일 중으로수령이 가능하십니다.
531,물건 언제 보내는 거죠?,현재 당사의 주문 폭주로 인하여 순차적으로 창고에서 물건이 발송되고 있습니다 고객님의 물건은 금일 발송 예정이며 내일 또는 모레 중으로수령이 가능하실 것 같습니다.
532,어제 배송됐다고 문자 왔는데 왜 배송조회가 안 되죠?,현재 당사의 주문 폭주로 인하여 순차적으로 창고에서 물건이 발송되고 있습니다 고객님의 물건은 금일 발송 예정이며 내일 또는 모레 중으로수령이 가능하실 것 같습니다.
533,,
534,언제와요?,현재 당사의 주문 폭주로 인하 여 배송이 1 - 2일 정도 더 소요되 실수 있는 점 많은 양해부탁드립니다.
535,금요일 중에 배송 출발한다는 건가요?,네 금요일 중으로수령이 가능하실 것 같습니다.
536,배송 중인데 조회가 안 되요 언제 오나요?,현재 당사의 주문 폭주로 인하 여 배송이 지연되고 있어요. 주문해 주신 물건은 금요일 중으로 배송이 되는 점 많은 양해부탁드립니다.
537,부부가 같이 사용하면 안 될까요?,코 세척기는 개인용이므로 가족 등 타인과 공유하시면 안 됩니다. 이는 감염의 원인이 될수도 있어요.
538,딸이랑 같이 쓰려면 코 세척기 추가 구매를 하나 더해야 됨?,가족 등 타인과 공유를 코 세척기는 개인용으로 금합니다. 이는 감염의 원인이 될수 있어요.
539,,
540,언제쯤 옵니까?,주문하신 물건은 금일 발송 예정이며 내일은 우체국 택배휴무이므로 내일 모레 중으로수령 가능하십니다.
541,,
542,분말탄 물은 바로 다 써야 하겠죠,스위퍼 용량인 250ML 는 한 회코 세척시 전량을 다 사용해주시는 양입니다.
543,임산부도 안심하고 사용할수 있을까요?,등장액 생리식염수는 체내에 흡수되는 것이 아니므로 임산부도 사용하실수 있어요.
544,약국에서 식염수 사다가해도 될까?,약국에서 구입 가능하신 액상생리식염수를 사용하셔도 괜찮습니다 다 만 액 상생리식염수는 개봉 후 빠른 시일 내에 사용을 해주셔야 안전하게 사용이 가능하십니다.
545,주문했는데 최근 제조품으로 부탁드려요수돗물 받아두고 쓰라고 나와 있는데 바로 써야 할 땐 정수기 물로 사용해도 될까요?,정수기 물도 사용이 가능하십니다. 다만 평소에 관리가 잘되어 사용을 있는 정수물로 해주셔야 안전하게 사용이 가능하십니다.
546,생수물로 해도 되져?,원칙상수돗물을 코 세척시 사용하는 물은 한번 끓인 후 사용하시는 게 가장 안전하십니다.
547,이거수돗물로 해도 되나요?,원칙상수돗물을 코 세척시 사용하는 물은 한번 끓인 후미지근하게 식혀 사용하시는 방법이 가장 안전하십니다.
548,택배사에서 알아서 가지러 오시는 것 아닌가요?,금일 우체국 택배로 반품이 접수되었으며 내일 중으로 기사님이 방문하실 예정이에요.
549,소독 세트를 사용하지 않고 물로만 세척해서 건조시킨 뒤 사용할수는 없지요,코 세척을 하시고 나면 세척기 통 안에는 바이러스균 박테리아균등 물 세척으로는 없어지지 않는 균들이 서식하게 되면서 곰팡이균으로 번식하게 됩니다.
550,8세도 사용 가능한가요?,8세면 충분히 혼자 코 세척할수 있어요. 8세 이하의 소아라도 부모님의 설명을 잘 따라 할수 있다면 가능한데요입으로 아 또는 크 하는 소리를 내면서 부드럽게 눌러주시면 반대 코로 식염수가 흘러나올 것입니다.
551,반품 절차는 어떻게 되니,일단 가지고 계시면 본사에요청하여 반품 회수할수 있도록 하겠습니다.
552,,
553,어린이용 분말 400포보고 들어왔는데 상품 선택에서 상품 1번 어린이용 200포로 되어 있는데 이 전문의 글 답글처럼 지금도 1+1하고 있는 건가요?,어린이용 분말은 현재 이벤트 진행 중이며 구매하시는수량만큼 더 발송됩니다.
554,유아용 분말 200포구 매시 400포를 주시는 게 맞지요,공지사 항대로 어린이 분말은 구매수량만큼 더 이벤트로 발송됩니다. 200포를 구매하셨으면 400포가 발송됩니다.
555,,
556,혹시 임산부 사용할수 있음?,노즈큐어 분말은 물 240ML 와 희석시 0.9 퍼센트 NORMALSLINE가 만들어집니다.
557,유통기한이 언제까지 인가요?,제품 유통기한은 2020.12.31일입니다.
558,내일 배송받을수 있는 거 맞죠?,당일 5시 이전 주문건은 오늘 전체적으로 출고되십니다 그러나 제품수령일은 택배 사 물량이 많이 증가된 부분으로 저희 측에서 확답 드리긴 어려운 부분입니다이 부분 참고 부탁드릴게요.
559,언제 배송 가능한가요?,네 당일 발송됩니다.
560,무선인가요?,해당 제품은 충전용 제품으로 코드리스 무선 제품입니다 참고하여 구매 부탁드릴게요.
561,구매하면 기본적으로 팁 타입별로 다주쥬?,상세 페이지 참고하시면 기본 구성 노즐을 확인하실수 있어요.
562,방금 결제했는데 오늘 배송해 주시면 안 될까요?,현재 고객님성함으로 주문건이 확인이 안 되십니다 주문건은 5시 이전 주문건은 전부 당일 배송되는 부분이 오니 참고하여 구매 부탁드릴게요.
563,,
564,금요일 주문 햇는데 아직 배송 준비 중 뜨는데 문제 잇으신가요?,네 주문건 발송되었어요. 다만 지난주 연휴 여파와 코로나로 인해 택배 사 물량 증가로 하루 정도 늦어질수는 있어요.
565,휴대용 제품도 플라그팁 추가로 구매하면 사용 가능한가요?,네 플라그팁 사용 가능하십니다. 참고하세요.
566,충전기 꽂는 부분에 물닿으면 마를 때까지 충전 못하지요,네 생활방수 기능이 있기에 툭툭 털어서 사용하시면 됩니다 참고하세요.
567,,
568,상품 특성상 고무 냄새가 올라오는데 머리 아프네요. 방법 없을까요?,고무 냄새는 보통 15일 정도 사용하시면 없어집니다 물주머니를 사용하신 후 잘 말려주세요.
569,B9 기본형을 사면 물주머니는 어떻게 생긴 게 오,흰색으로 발송됩니다 주문 시 게시판에 남겨주시면 변경해 드릴게요.
570,커버 형 제품으로 구매하려고 하는데 혹시 커버 형 제품은 물주머니도 베트남 제조인가요?,당사는 베트남산물 주머니는 취급하지 않습니다 전부 다 독일 공장 제품만 취급합니다.
571,,
572,0. 8L 도 톰 폴리커버 세트 안 물 주머니 색은 선택할수 없지,안데물 주머니는 무조건 힌색으로 나갑니다 선택이 불가합니다.
573,커버는 문제가 없고 물주머니만 오염됐는데 교환시 물주머니만 보내면 되지,물주머니만 보내시면 됩니다.
574,지워지면 그냥 깨끗이 지워서 쓰려고 했는데 지워지지도 않아요 사진이라도 올려서 보여드리고 싶은데 교환되,교환신청해주세요 교환해드릴게요.
575,뚜껑이 추가로 구매 가능하게 되어 있던데 물주머니만 사면 안 될까?,뚜껑은 추가로 더 필요하신 분이 주문하시는 겁니다 기본으로 들어있어요.
576,양면 무늬와 단면 무늬 그리고 빗살 무늬와 다이아 등의 차이점이 뭔가요?,두께 차이입니다 빗살이 들어가면 더 두껍습니다.
577,,
578,배송 중이 아닌데도 배송 중이라고 표시되는 건 그럼 누구의 오류인지요?,송장을 입력하면 저절로 배송 중으로 넘어가는 시스템이 라 오해가 있었네요.
579,좋은 상품 빠른 배송 부탁합니다 오만원 이상은 배송비 무료 맞을까?,확인 후 발송하겠습니다.
580,뭐죠?,물주머니는 다이아몬드형 기본으로만 구성되어 있습니다 아트형들은 별도로 주문하셔야 합니다.
581,어제 저녁에 결제했는데 토요일까지 받아볼수 있을까요?,오늘 발송합니다.
582,"보통 커버 형 제품의 경우 커버랑 속에 물주머니까지 베트남 OEM이던데, 여기는 물주머니는 독일 제품이란 말인가요?",독일 본사와 라이센스를 당사는 체결한 정식수입업체입니다 커버가 있는 제품도 독일 물 주머니로 따로 제작되어 일반 유통되는 베트남 제품과 다른 제품입니다.
583,,
584,,
585,없으니까 보내 달란 소리겠죠?,확인 후 발송하겠습니다.
586,제조년원일이 궁금합니다 몇 년도에 생산된 것인가요?,제품에 따라 약간씩 차이가 있지만 대부분 2015 - 2016 제품입니다.
587,차갑게 얼려서도 사용 가능한가요?,물을 넣은 체로 얼리는 것은 권장하지 않습니다 다만 얼음을 넣어서 사용하시는 것은 괘 안습니다.
588,뜨거운 물 말고 얼음이나 차가운 물 넣고 사용할수도 있나요?,사용하셔도 됩니다 하지만 물을 넣고 냉동고에 넣으시면 안 됩니다.
589,12번 상품 0. 8리터oo물팩에 MADEINGERMANY으로 각인되어 잇음?,저희 업체는 공식 라이센스 업체로 모든 물주머니가 독일 공장 생산입니다 MADEINGERMANY 각인되어 있어요.
590,,
591,MAIDINGERMANY가 쓰여진 정품 맞나유?,정품입니다 각인이 되었어요.
592,15번 구매하려고 합니다. 폴리커버만 하나 더 살수 있나요?,커버를 구매하신 상품은 별도로 판매하지 않는 상품입니다.
593,다이아몬드 아웃도어 커버 2L 브라운 주문했는데 크기가 작아서요상품 양면 다이아몬드 무늬 상품과 혹시 크기 차이가 있쥬?,2리터 상품은 전체가 A4 용지만 하다고 보시면 됩니다 처음에 물이 5리터 정도 들어가며 일주일 정도 사용하시면 2리터가 넘게 들어갑니다.
594,베트남산?,물주머니는 독일 커버는 베트남입니다.
595,A5 핑크 구입하고픈 데뭘 선택해야 햐요?,현재 폴리핑크는 품절로 상품에 등록되어 있지 않아요.
596,"23번 제품 구매했는데, 다이이아몬드 무늬 2L 보온물주머니 화이트는 독일 공장 제품 MADEINGERMANY 맞는 거죠?",네 맞아요.
597,15번 주문했는데 주머니랑 커버 둘 다 오는 거죠?,폴리커버가 같이 발송됩니다.
598,이상 없는 제품으로 보내주세요. 급해서 그러는데 언제 받을수 있져?,오늘 발송됩니다.
599,커버도 함께 보내주실수 있음?,1번은 커버가 없는 상품입니다 커브를 받으 실려면 별도로 커버를 주문하셔야 합니다.
600,핫팩 선택 : 선택 15/2L +폴리커버 그레이 배송 부탁드립니다 어떤 제품에는 커버가 다르던데 oo로 되어 있는 거 맞죠?,폴리그레이는 oo 라벨로 되어 있어요.
601,oo 정품 확실한 거죠?,리퍼 상품은 없습니다 oo사와 라이센스를 당사는 체결한 국내 유일한 업체입니다.
602,,
603,예 를 들어 A2 에서 2 폴리로 선택할 경우 2리터 핫팩이 포함되어 있는 건가요?,핫팩이 폼홤된 상품입니다 핫팩은 기본형 노커버 제품으로 블루 레드 크림세가지 중 랜덤으로 발송됩니다.
604,,
605,옥을 넣을 때도 물을 부어야 하는 건가요?,물을문의 주신 상품은 훈증기로 사용하시는 제품으로 항시 사용하셔야 합니다.
606,이거 매일매일 해도 괜찮을까요?,저희 제품은 매일 사용해도 문제는 없으신 제품이십니다. 건강을 좌욕은 위해 하시는 것으로 건강상태에 따라 사용해주시면 되세요.
607,쑥 없이 원적외선으로만 사용도 가능한가요?,해당 제품은 쑥티백 없이도 사용이 가능해요. 쑥향이 불편하시다면 티백을 넣지 않고 사용해주세요.
608,좌욕기 구매하면서 쑥통 하나 더 구매할수 있나유?,쑥팩을 해당 제품 구매 시 옵션에서 추가로 구매하실수 있으며 제품에 내장되어 있는 쑥통은 별도 구매가 어려운 점 양해 부탁드려요.
609,"열조절기가 강은 너무 뜨겁고 약은 너무 약하다는 평이 있는데, 그게 좀 보완이 되었음?",해당 제품의 열조절은 강약으로 조절 가능하며 제품의 사이즈는 가로 약 32CM 세로 약 27CM 높이 약 36CM 입니다.
610,83000원에 치마와 쑥 20팩 포함인가요?,해당 상품의 구성품은 본체 안면 용컵 좌훈치마 약쑥통 계령컵.천연옥 천연약쑥팩20포 사용설명서이며 천연악쑥팩과 좌훈치마는 옵션에서 추가로 구매가 가능해요.
611,당연히 속옷 하의 벗고 사용하는 거겠죠?,해당 제품은 탈의 후 사용하시는 제품입니다.
612,마른 상태 그대로 넣져?,마른 상태의 쑥을 사용하셔도 되며 살짝 물에 적셔서 사용하셔도 됩니다.
613,,
614,,
615,임산부 산후 이용 가능한가요?,일반적으로 좌훈은 자궁의 건강 피부미용 다이어트 효과도 볼수 있는데 부소양증이나 냉대하를 특히 좌훈요법은 강한 살균효과가 있기 때문에 질염으로 인한 임 개선할수 있고 각종 여성질환에도 효과가 있다고 합니다.
616,구매했는데 궁금한 게 있어서 사용 주기는 어떻게 되지,사용 주기는 사용자 분의 편의대로 사용이 용이하며 족욕은 오래 하시는 것보다 하루에 30분 내외로 하시는 것이 좋습니다.
617,상품 내 일 받고 싶습니다 입금 몇 시까지 하면 내일 받을수 있는가요?,당일 2시 이전 주문만 당일 발송이 되며 내일 9일은 휴일이라 배송이 어렵습니다.
618,숙팩만 넣어야 함?,다른 제품을 넣으셔도 가능하나 티백으로 활용 바랍니다.
619,,
620,10일 날 보내셨다고 하셨자나여?,배송 과정에서 누락이 발생한 것 같습니다. 금일 재발송토록 하겠습니다.
621,훈 증용치마와 좌훈치마가 다른 건가요?,훈 증용치마와 좌훈치마는 같은 제품이며 쑥팩은 20개가 1세트입니다.
622,사이즈가 더 큰 프리미엄 붙히는 하루 온 팩 맞져? 고객 평중 쓰던 것보다 작다라는 분이 계셔서 문의드려요,제조사 oo에서 생산되는 제품 하루온 팩은 더 큰 사이즈 맞아요. 하루온 팩은 올 겨울 포장 디자인이 바뀌었습니다.
623,하루 온 팩? 붙이는 핫팩 맞나요?,ooo을 찾아주셔서 감사합니다. 본 상품은 속옷 위에 붙이는 하루 온 팩 맞아요.
